"Distribution x_1","Distribution x_2","DGP","Model","Effect Size Scenario","Transition","Model Type","Coefficient (true)","Coefficient (mean)","Coefficient (lower)","Coefficient (upper)","Bias (mean)","Bias (lower)","Bias (upper)","Coverage (mean)","Coverage (lower)","Coverage (upper)"
"Bernoulli(0.5)","Bernoulli(0.5)","STSS DGP","STSS PAM","Large","Onset","$x_1$-only Model",0.6,0.5772034,0.5017375,0.655205,-0.0227966,-0.0982625,0.055205,0.912,0.883664829336834,0.935331542458942
"Bernoulli(0.5)","Bernoulli(0.5)","STSS DGP","STSS PAM","Large","Onset","Full Model",0.6,0.6006868,0.5240075,0.680805,0.000686800000000022,-0.0759925,0.080805,0.96,0.938897390611755,0.975398687914455
"Bernoulli(0.5)","Bernoulli(0.5)","STSS DGP","STSS PAM","Large","Progression","$x_1$-only Model",0.6,0.574627,0.3795375,0.7635775,-0.025373,-0.2204625,0.1635775,0.926,0.89944112525353,0.947364891451005
"Bernoulli(0.5)","Bernoulli(0.5)","STSS DGP","STSS PAM","Large","Progression","Full Model",0.6,0.600618,0.4014975,0.800255,0.000618000000000021,-0.1985025,0.200255,0.94,0.9154514462924,0.959155818237223
"Bernoulli(0.5)","Bernoulli(0.5)","STSS DGP","STSS PAM","Large","Progression Interaction","$x_1$-only Model",0,-0.0025766,-0.20622,0.198165,-0.0025766,-0.20622,0.198165,0.946,0.922402531505063,0.964115740278066
"Bernoulli(0.5)","Bernoulli(0.5)","STSS DGP","STSS PAM","Large","Progression Interaction","Full Model",0,-6.58e-05,-0.204815,0.20381,-6.58e-05,-0.204815,0.20381,0.95,0.927072378349521,0.96738481985067
"Bernoulli(0.5)","Bernoulli(0.5)","STSS DGP","STSS PAM","Medium","Onset","$x_1$-only Model",0.4,0.3911524,0.2977375,0.479015,-0.00884760000000002,-0.1022625,0.079015,0.932,0.906270353192629,0.952451753367345
"Bernoulli(0.5)","Bernoulli(0.5)","STSS DGP","STSS PAM","Medium","Onset","Full Model",0.4,0.4004864,0.3180025,0.4848575,0.000486399999999979,-0.0819975,0.0848575,0.958,0.936513059467081,0.973816423223853
"Bernoulli(0.5)","Bernoulli(0.5)","STSS DGP","STSS PAM","Medium","Progression","$x_1$-only Model",0.4,0.3862046,0.2251625,0.539945,-0.0137954,-0.1748375,0.139945,0.936,0.910849372449137,0.955815789053287
"Bernoulli(0.5)","Bernoulli(0.5)","STSS DGP","STSS PAM","Medium","Progression","Full Model",0.4,0.404467,0.2518325,0.55225,0.00446699999999998,-0.1481675,0.15225,0.946,0.922402531505063,0.964115740278066
